,Teff,M_V
37893,10015.275575078504,1.0875164134554423
37892,9938.728988502377,1.135758757820823
37891,9840.336232864092,1.197756223827187
37890,9760.644353184265,1.2480859414709897
37889,9676.672701436453,1.301701040383635
37888,9570.79183016573,1.3681600370479003
37887,9485.405765830426,1.4203317756301521
37886,9412.080336048284,1.466054591499069
37885,9318.955280126636,1.5236992055746796
37884,9245.350408410717,1.5689027190701177
37883,9132.80079608054,1.6372288261465435
37882,9040.151176029218,1.693566291813399
37881,8936.591398994145,1.755694750574193
37880,8841.439044574216,1.8119800673976751
37879,8743.43522736518,1.8704088991114087
37878,8672.406753235693,1.912961142709669
37877,8582.14242448279,1.9667564945495486
37876,8440.326989935871,2.0512405947480885
37875,8353.580062589454,2.1026421307808696
37874,8272.988760978636,2.150432385206664
37873,8176.151014497702,2.2083302351154375
37872,8068.254015276861,2.2735221031815773
37871,7975.915582720783,2.329761176060773
37870,7878.9317023059975,2.3891994727320087
37869,7783.723100447842,2.448210948226044
37868,7689.530432178079,2.507360844067689
37867,7593.533208318879,2.569067033309675
37866,7520.39054926015,2.617789855084876
37865,7437.65996806979,2.676340024252377
37864,7359.847563540833,2.7326257059068215
37863,6964.538822884645,3.091442962989518
37862,6909.869266748548,3.1521306803983355
37861,6854.389014828816,3.21716749815998
37860,6799.44381744759,3.2840289925312516
37859,6750.084750413384,3.346709950919125
37858,6704.781876951404,3.406034542746618
37857,6661.074074112748,3.4636348485188373
37856,6616.648782653039,3.522545198580972
37855,6572.870686055002,3.5814843997553085
37854,6524.6804353511225,3.648988534234504
37853,6474.593340192385,3.7196502709435952
37852,6427.753772392496,3.7867248739766994
37851,6386.073915641152,3.847206112104775
37850,6352.554319661466,3.8962483524170803
37849,6317.783058166923,3.947372880874565
37848,6281.6515298978165,4.000772172084204
37847,6239.747168227795,4.063140204317974
37846,6190.282182980896,4.137298048302831
37845,6163.084376478332,4.177817947300414
37844,6135.823771355556,4.218592015904925
37843,6102.604753121666,4.268210875662817
37842,6065.918047816418,4.323170114787021
37841,6021.466418981933,4.389194482963624
37840,5980.049355276505,4.450689381684006
37839,5942.955078507338,4.505255217982022
37838,5902.3850944608375,4.564861510759855
37837,5856.886175775273,4.631083659962159
37836,5810.7637599456175,4.697407945918288
37835,5764.515848835829,4.7636906896196125
37834,5721.370898522217,4.8260557136580395
37833,5676.181706969441,4.891254242748679
37832,5624.8521107109445,4.962569712466368
37831,5573.14495952971,5.035145909321283
37830,5522.248542233702,5.1073369704154725
37829,5470.981314324688,5.179716831116657
37828,5416.36287749194,5.249165573563969
37827,5359.990008752069,5.321596433606035
37826,5301.976479890803,5.396950463969214
37825,5246.740455282152,5.469565210131642
37824,5192.457322157547,5.541741681263637
37823,5136.333188638316,5.617156126352818
37822,5080.074246720084,5.69360248445935
37821,5026.56686614191,5.767189893585591
37820,4972.019449344944,5.843017464316034
37819,4915.73519552543,5.922114720843364
37818,4863.019127321509,5.997131773527775
37817,4809.632573175224,6.073940163480131
37816,4754.315106533822,6.154390114355669
37815,4708.577035102059,6.216819860964311
37814,4662.634853782022,6.279930958030559
37813,4616.379937944297,6.344090488452734
37812,4570.703141710554,6.408074734537456
37811,4525.641826324572,6.471910417211063
37810,4481.5222472293735,6.535373609121615
37809,4443.913341801399,6.597087241989096
37808,4408.060734474491,6.656582822806088
37807,4371.430509581327,6.7178920159972515
37806,4335.881748495511,6.77812989655685
37805,4300.177465881789,6.83923547071916
37804,4265.117323943774,6.900049784596465
37803,4231.29935762775,6.9659445444690915
37802,4198.737377450278,7.035418604286907
37801,4166.340940514438,7.105341997904609
37800,4134.9162596376955,7.174245233586605
37799,4103.46630246033,7.243902073225346
37798,4073.9986817235394,7.310398030834979
37797,4034.4628474441397,7.415029268312451
37796,3993.6166223383702,7.526018270403863
37795,3927.221707722603,7.709157552838839
37794,3813.526278182218,8.056843803267084
37793,3705.505542100962,8.461867541782308
37792,3658.885547361186,8.67075711382385
37791,3642.2034597553697,8.740633483410889
37790,3638.0315419142335,8.75217943125099
37789,3633.7064426110096,8.764707744950888
37788,3629.272656610166,8.778562169361782
37787,3624.7622479826796,8.794104132815573
37786,3620.2591023103228,8.811422052954214
37785,3615.7893704449752,8.830652413493342
37784,3611.3722556439398,8.852056311905958
37783,3607.0396785710022,8.875626508066583
37782,3602.801389039135,8.901309171810663
37781,3598.6588210623277,8.928979355013698
37780,3594.613224520796,8.958057797145461
37779,3590.6247675890004,8.98869022930535
37778,3586.815619054334,9.019800492949678
37777,3573.7024848523224,9.102057045497517
37776,3549.5102364001123,9.243486267839756
37775,3527.8056864143573,9.366446100059182
37774,3513.4323168053406,9.439112139463951
37773,3499.2902662421243,9.511596215922054
37772,3485.391567437224,9.58379363915114
37771,3471.745138656675,9.655693493445902
37770,3458.3666075503434,9.726871682392082
37769,3438.377479472992,9.815183013433892
37768,3417.628687705284,9.905675876184038
37767,3397.4108381315036,9.994894263659143
37766,3378.1332825348372,10.08208389512418
37765,3360.0922090598656,10.166690350069956
37764,3343.0202944894945,10.24895492169004
37763,3319.9378055661537,10.31943174443414
37762,3297.00682179309,10.3885731912649
37761,3274.889504801828,10.456874437765247
37760,3253.683625688971,10.52411486104
37759,3233.400235742991,10.59033644243793
37758,3213.9893705241684,10.655545614560221
37757,3195.2464398656493,10.719974774538946
37756,3177.330686051647,10.783228044556084
37755,3160.5053341963835,10.844671534733356
37754,3144.0773450031556,10.905465835050974
37753,3127.9862391417987,10.96587698824554
37752,3112.5315457769248,11.025632837024403
37751,3112.4738904615347,11.025855332701607
