CommonName,RAdeg,DEdeg
Sirius,101.2875,-16.7161
Procyon,114.8255,5.2249
Altair,297.6958,8.8683
Vega,279.2347,38.7837
Capella,79.1723,45.9979
Arcturus,213.9154,19.1825
Betelgeuse,88.7929,7.4071
Rigel,78.6345,-8.2016
Aldebaran,68.9802,16.5093
Pollux,113.6494,28.0262
Fomalhaut,344.4128,-29.6222
Spica,201.2983,-11.1613
Antares,247.3519,-26.432
Deneb,310.3579,45.2803
Castor,113.65,31.8883
Regulus,152.0929,11.9672
Canopus,95.9879,-52.6957
Achernar,24.4286,-57.2367
Alpha Centauri,219.9021,-60.8339
Barnard's Star,269.4521,4.6934
